sentence_no,elementID
9,src/main/java/org/jabref/logic/JabRefException.java
9,src/main/java/org/jabref/gui/util/JabRefResourceLocator.java
9,src/main/java/org/jabref/gui/undo/AbstractUndoableJabRefEdit.java
9,src/main/java/org/jabref/gui/icon/JabRefIcon.java
9,src/main/java/org/jabref/gui/auximport/NewSubLibraryAction.java
9,src/main/java/org/jabref/gui/shared/ConnectToSharedDatabaseCommand.java
9,src/main/java/org/jabref/gui/importer/NewDatabaseAction.java
9,src/main/java/org/jabref/logic/citationstyle/JabRefLocaleProvider.java
9,src/main/java/org/jabref/gui/icon/JabRefMaterialDesignIcon.java
9,src/main/java/org/jabref/gui/preferences/ShowPreferencesAction.java
9,src/main/java/org/jabref/gui/copyfiles/CopyFilesResultListDependency.java
9,src/main/java/org/jabref/gui/actions/JabRefAction.java
9,src/main/java/org/jabref/gui/JabRefGUI.java
9,src/main/java/org/jabref/logic/citationstyle/JabRefItemDataProvider.java
9,src/test/java/org/jabref/gui/importer/NewEntryActionTest.java
9,src/main/java/org/jabref/gui/copyfiles/CopyFilesResultItemViewModel.java
9,src/main/java/org/jabref/gui/icon/JabRefIconView.java
9,src/main/java/org/jabref/gui/JabRefExecutorService.java
9,src/main/java/org/jabref/architecture/AllowedToUseLogic.java
9,src/main/java/org/jabref/logic/util/io/AutoLinkPreferences.java
9,src/main/java/org/jabref/gui/importer/NewEntryAction.java
9,src/main/java/org/jabref/gui/preferences/externalfiletypes/ExternalFileTypeItemViewModel.java
9,src/main/java/org/jabref/gui/icon/IconTheme.java
9,src/main/java/org/jabref/gui/preferences/PreferencesDialogViewModel.java
9,src/main/java/org/jabref/gui/mergeentries/newmergedialog/cell/ThreeWayMergeCell.java
9,src/main/java/org/jabref/logic/openoffice/backend/Codec52.java
9,src/main/java/org/jabref/gui/icon/JabRefIkonHandler.java
9,src/test/java/org/jabref/logic/crawler/StudyYamlParserTest.java
9,src/main/java/org/jabref/gui/integrity/IntegrityCheckAction.java
9,src/main/java/org/jabref/gui/desktop/JabRefDesktop.java
9,src/test/java/org/jabref/gui/exporter/SaveDatabaseActionTest.java
9,src/main/java/org/jabref/cli/JabRefCLI.java
9,src/main/java/org/jabref/logic/citationstyle/CSLAdapter.java
9,src/main/java/org/jabref/gui/shared/SharedDatabaseUIManager.java
9,src/main/java/org/jabref/gui/externalfiletype/StandardExternalFileType.java
9,src/main/java/org/jabref/gui/cleanup/CleanupAction.java
9,src/main/java/org/jabref/gui/shared/SharedDatabaseLoginDialogView.java
1,src/main/java/org/jabref/architecture/AllowedToUseLogic.java
1,src/test/java/org/jabref/testutils/category/GUITest.java
10,src/main/java/org/jabref/logic/JabRefException.java
10,src/main/java/org/jabref/gui/util/JabRefResourceLocator.java
10,src/main/java/org/jabref/gui/undo/AbstractUndoableJabRefEdit.java
10,src/main/java/org/jabref/gui/icon/JabRefIcon.java
10,src/main/java/org/jabref/gui/auximport/NewSubLibraryAction.java
10,src/main/java/org/jabref/gui/shared/ConnectToSharedDatabaseCommand.java
10,src/main/java/org/jabref/gui/importer/NewDatabaseAction.java
10,src/main/java/org/jabref/logic/citationstyle/JabRefLocaleProvider.java
10,src/main/java/org/jabref/gui/icon/JabRefMaterialDesignIcon.java
10,src/main/java/org/jabref/gui/preferences/ShowPreferencesAction.java
10,src/main/java/org/jabref/gui/actions/JabRefAction.java
10,src/main/java/org/jabref/gui/JabRefGUI.java
